detail_url,building_name,floor,num_flats,num_blocks,bedroom,bathroom,is_studio,estate_age,posted_days_age,has_view,has_open_view,has_sea_view,has_other_view,is_renovated,is_luxury_renovated,is_single_building,isin_school_network,has_clubhouse,is_appliances_included,is_mall_nearby,has_balcony,saleable_area,rent
https://www.28hse.com/rent/residential/property-1655752,港圖灣,unknown,175.0,1.0,3.0,1.0,False,17.0,2.0,True,False,True,False,True,True,False,False,False,False,False,False,603.0,24000.0
https://www.28hse.com/rent/residential/property-1655694,金都豪苑,high,288.0,1.0,3.0,1.0,False,20.0,2.0,True,True,False,True,False,False,True,False,False,False,False,False,524.0,23000.0
https://www.28hse.com/rent/residential/property-1655663,瑧尚,mid,294.0,1.0,1.0,1.0,False,1.0,2.0,True,True,True,False,False,False,True,True,True,True,False,True,319.0,15800.0
https://www.28hse.com/rent/residential/property-1655650,新城中心,high,280.0,5.0,2.0,1.0,False,34.0,2.0,False,False,False,False,True,True,False,False,False,False,False,False,290.0,11000.0
https://www.28hse.com/rent/residential/property-1650879,唐樓,high,300.0,1.0,2.0,1.0,False,17.0,5.0,False,False,False,False,True,True,False,False,False,False,False,False,480.0,9500.0
https://www.28hse.com/rent/residential/property-1635499,迎豐,unknown,300.0,1.0,0.0,1.0,True,4.0,15.0,False,False,False,False,False,False,False,False,False,False,False,False,185.0,9500.0
https://www.28hse.com/rent/residential/property-1655268,喜點,mid,168.0,1.0,1.0,1.0,False,5.0,2.0,True,True,False,True,False,False,True,False,False,True,False,False,357.0,15000.0
https://www.28hse.com/rent/residential/property-1655465,喜築,unknown,209.0,1.0,1.0,1.0,False,2.0,2.0,False,False,False,False,False,False,True,False,False,False,False,False,333.0,13500.0
https://www.28hse.com/rent/residential/property-1655437,翔龍灣,mid,782.0,5.0,2.0,1.0,False,14.0,2.0,True,False,False,True,True,False,False,False,False,True,False,False,372.0,14800.0
https://www.28hse.com/rent/residential/property-1649533,欣榮花園,unknown,900.0,7.0,3.0,2.0,False,23.0,6.0,False,False,False,False,True,True,False,True,False,False,True,False,731.0,24000.0
https://www.28hse.com/rent/residential/property-1654854,喜點,mid,168.0,1.0,0.0,1.0,True,5.0,3.0,True,True,False,False,False,False,True,False,True,False,False,True,255.0,12000.0
